math score,reading score,writing score,gender,race/ethnicity,parental level of education,lunch,test preparation course
58,74,89,female,group C,high school,free/reduced,none
72,112,82,female,group B,master's degree,standard,completed
72,61,99,female,group B,associate's degree,standard,completed
70,69,86,female,group A,some high school,standard,completed
88,60,99,female,group E,some high school,free/reduced,none
63,73,93,male,group A,associate's degree,standard,completed
70,75,88,female,group C,high school,free/reduced,completed
101,64,100,male,group D,some high school,standard,none
56,93,94,female,group E,some college,standard,completed
44,72,53,female,group D,bachelor's degree,standard,none
62,78,85,male,group C,some college,free/reduced,completed
53,94,55,female,group C,some high school,standard,completed
80,89,64,male,group E,some high school,standard,none
80,69,91,female,group E,high school,standard,completed
101,100,100,female,group C,some high school,standard,completed
77,96,73,female,group A,high school,standard,none
79,102,88,female,group A,master's degree,standard,completed
71,54,37,male,group B,some high school,free/reduced,completed
48,84,94,female,group B,master's degree,free/reduced,completed
84,94,80,female,group C,associate's degree,standard,none
86,68,59,male,group C,high school,standard,completed
68,84,40,male,group B,some college,free/reduced,none
43,80,48,female,group E,high school,free/reduced,none
77,74,102,female,group C,some high school,standard,completed
85,72,65,male,group A,associate's degree,free/reduced,none
59,90,93,female,group C,high school,standard,completed
74,93,79,male,group A,associate's degree,standard,completed
40,101,115,male,group E,associate's degree,free/reduced,completed
71,86,45,male,group A,bachelor's degree,standard,completed
67,36,93,female,group D,associate's degree,standard,none
50,53,49,male,group E,bachelor's degree,free/reduced,none
66,56,88,male,group D,master's degree,standard,none
50,69,60,female,group D,bachelor's degree,free/reduced,none
93,78,81,male,group C,some college,free/reduced,completed
26,85,67,female,group A,associate's degree,free/reduced,none
48,76,91,female,group A,master's degree,free/reduced,completed
41,86,113,female,group E,master's degree,free/reduced,completed
44,58,77,male,group E,some high school,free/reduced,completed
63,105,99,female,group C,master's degree,free/reduced,none
62,51,62,male,group A,some college,free/reduced,none
93,91,87,male,group C,associate's degree,standard,none
66,78,85,female,group C,some college,free/reduced,completed
74,80,67,female,group D,some college,standard,completed
53,75,81,female,group C,high school,free/reduced,none
83,64,84,male,group B,master's degree,free/reduced,completed
40,73,101,male,group E,some high school,standard,none
47,76,61,male,group D,high school,free/reduced,none
89,74,98,female,group D,high school,free/reduced,none
79,96,74,female,group E,associate's degree,standard,completed
48,52,60,male,group C,some high school,free/reduced,completed
70,68,66,male,group D,some college,free/reduced,completed
92,101,113,female,group B,master's degree,standard,completed
92,84,96,female,group D,associate's degree,free/reduced,completed
46,102,104,female,group D,bachelor's degree,free/reduced,none
51,40,90,female,group A,some high school,free/reduced,none
87,101,77,female,group B,master's degree,free/reduced,completed
68,40,82,female,group D,some high school,free/reduced,none
96,70,96,female,group D,some high school,free/reduced,completed
62,106,77,female,group D,associate's degree,free/reduced,none
54,73,64,female,group D,high school,free/reduced,completed
64,31,88,male,group D,master's degree,standard,none
48,83,94,female,group C,high school,free/reduced,completed
54,83,91,female,group E,master's degree,free/reduced,completed
104,76,43,male,group D,associate's degree,free/reduced,completed
43,106,72,male,group C,bachelor's degree,free/reduced,none
64,69,91,male,group D,bachelor's degree,standard,completed
33,70,70,female,group E,some high school,free/reduced,none
86,55,58,male,group D,associate's degree,free/reduced,none
30,88,72,female,group C,some high school,free/reduced,none
88,58,99,male,group D,bachelor's degree,standard,completed
76,79,72,male,group B,high school,free/reduced,completed
104,80,87,female,group E,bachelor's degree,standard,completed
80,89,73,female,group D,master's degree,standard,none
72,64,52,female,group B,high school,free/reduced,completed
67,74,63,female,group E,some high school,standard,none
86,62,86,male,group D,master's degree,standard,none
83,52,99,female,group D,some college,free/reduced,none
57,69,100,male,group B,high school,standard,completed
56,61,93,female,group D,some high school,standard,completed
77,84,78,male,group E,master's degree,standard,completed
45,49,59,female,group D,associate's degree,free/reduced,completed
31,91,90,female,group C,some high school,standard,completed
85,73,95,female,group C,some high school,free/reduced,completed
67,42,86,female,group B,some high school,standard,completed
49,86,94,female,group E,some high school,free/reduced,completed
60,70,70,female,group A,bachelor's degree,free/reduced,none
81,62,98,female,group B,some college,standard,none
56,29,103,female,group C,some college,standard,none
39,91,91,female,group E,some college,free/reduced,completed
80,89,67,male,group B,master's degree,standard,none
52,57,80,female,group C,associate's degree,free/reduced,completed
73,25,81,male,group D,some high school,free/reduced,none
53,96,96,male,group D,associate's degree,free/reduced,completed
95,84,95,female,group A,master's degree,standard,completed
68,72,76,female,group B,some college,standard,completed
71,89,61,male,group A,master's degree,free/reduced,completed
54,84,97,male,group B,bachelor's degree,standard,completed
48,65,79,female,group B,some college,free/reduced,completed
70,43,89,male,group E,master's degree,free/reduced,completed
74,73,55,female,group C,high school,free/reduced,completed
66,40,97,female,group E,some high school,free/reduced,completed
43,49,52,female,group C,high school,free/reduced,none
69,83,95,female,group B,high school,free/reduced,completed
70,95,93,female,group A,bachelor's degree,standard,completed
98,96,101,female,group A,bachelor's degree,standard,completed
74,72,45,male,group A,high school,free/reduced,none
60,105,68,female,group C,associate's degree,free/reduced,completed
82,100,60,male,group A,some high school,standard,none
62,94,55,male,group B,some high school,free/reduced,completed
82,87,70,male,group E,master's degree,standard,completed
69,56,65,male,group E,bachelor's degree,standard,completed
58,78,66,male,group A,high school,standard,none
92,89,91,female,group C,bachelor's degree,free/reduced,none
59,68,89,male,group E,some college,free/reduced,none
89,43,86,male,group B,master's degree,standard,completed
53,87,60,female,group C,high school,standard,none
90,72,85,male,group E,some college,standard,none
70,85,67,male,group A,master's degree,free/reduced,none
69,48,100,female,group A,associate's degree,free/reduced,completed
64,105,67,female,group A,high school,free/reduced,completed
88,78,57,male,group A,bachelor's degree,standard,none
76,68,76,male,group D,high school,standard,none
60,73,86,female,group D,some high school,standard,completed
62,76,93,male,group D,associate's degree,free/reduced,completed
70,96,69,female,group C,master's degree,free/reduced,completed
52,86,68,female,group C,some high school,standard,none
66,91,66,male,group A,high school,free/reduced,completed
57,77,44,male,group D,associate's degree,free/reduced,none
87,79,82,male,group B,some college,free/reduced,completed
59,62,49,male,group C,some college,free/reduced,completed
86,61,80,male,group A,associate's degree,free/reduced,completed
52,72,95,female,group B,some college,standard,completed
82,52,62,male,group A,bachelor's degree,free/reduced,none
71,65,81,female,group A,associate's degree,standard,none
58,72,68,female,group C,high school,free/reduced,none
87,70,84,male,group E,bachelor's degree,free/reduced,completed
71,82,103,female,group B,some high school,free/reduced,completed
76,109,55,female,group E,master's degree,standard,none
62,70,52,male,group B,high school,free/reduced,completed
75,93,80,female,group B,some college,free/reduced,completed
72,98,109,male,group E,bachelor's degree,standard,completed
67,81,56,male,group B,bachelor's degree,standard,none
57,100,80,female,group C,some high school,free/reduced,completed
24,94,52,female,group C,master's degree,free/reduced,completed
74,111,109,female,group E,some high school,standard,completed
67,55,66,male,group C,master's degree,free/reduced,completed
43,70,72,male,group B,high school,standard,completed
52,52,38,male,group B,master's degree,free/reduced,none
65,106,52,female,group E,some college,standard,none
65,70,89,male,group D,associate's degree,standard,none
64,66,79,female,group A,some college,standard,completed
36,72,53,male,group A,associate's degree,standard,none
55,83,75,female,group C,some college,standard,completed
68,77,69,female,group C,some college,standard,none
55,62,81,female,group A,associate's degree,standard,completed
55,50,79,female,group B,high school,free/reduced,completed
65,68,94,female,group E,bachelor's degree,standard,completed
67,66,75,male,group C,master's degree,standard,none
80,64,44,male,group B,bachelor's degree,free/reduced,none
55,102,65,female,group C,master's degree,free/reduced,completed
75,57,74,male,group E,some high school,standard,none
91,84,60,male,group B,master's degree,standard,none
68,73,38,male,group E,bachelor's degree,free/reduced,none
69,85,90,female,group B,some high school,standard,completed
6,61,66,male,group C,some high school,free/reduced,none
77,106,88,female,group C,high school,free/reduced,completed
79,72,98,male,group E,master's degree,free/reduced,completed
99,54,92,female,group B,some college,standard,none
57,54,83,female,group C,some high school,standard,completed
53,63,58,male,group A,bachelor's degree,free/reduced,none
75,71,79,male,group C,associate's degree,free/reduced,completed
67,46,70,male,group A,bachelor's degree,free/reduced,completed
63,79,98,female,group C,some college,standard,completed
70,77,115,male,group C,high school,free/reduced,completed
49,89,69,male,group B,master's degree,standard,none
88,40,78,female,group B,bachelor's degree,standard,none
41,70,82,female,group D,some high school,free/reduced,completed
48,87,90,female,group D,master's degree,free/reduced,completed
39,87,61,female,group D,some college,free/reduced,none
55,84,96,female,group E,bachelor's degree,free/reduced,none
44,27,82,female,group D,associate's degree,standard,completed
59,78,74,male,group C,high school,free/reduced,completed
39,36,64,male,group A,some college,free/reduced,none
75,52,101,female,group B,master's degree,standard,completed
42,77,101,female,group E,bachelor's degree,standard,completed
76,105,70,female,group A,high school,free/reduced,completed
42,47,68,female,group C,high school,free/reduced,none
