gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,bachelor's degree,free/reduced,completed,63,73,93
male,group C,bachelor's degree,free/reduced,none,70,75,88
male,group A,some high school,standard,none,101,64,100
male,group B,some high school,standard,none,56,93,94
male,group E,high school,free/reduced,none,44,72,53
male,group B,high school,free/reduced,none,62,78,85
male,group D,some high school,standard,completed,53,94,55
female,group E,associate's degree,free/reduced,none,80,89,64
male,group E,some college,free/reduced,none,80,69,91
female,group E,master's degree,standard,none,101,100,100
female,group D,high school,free/reduced,none,77,96,73
female,group C,associate's degree,standard,none,79,102,88
male,group D,bachelor's degree,standard,none,71,54,37
male,group B,some college,free/reduced,completed,48,84,94
male,group C,high school,free/reduced,none,84,94,80
male,group C,some college,free/reduced,completed,86,68,59
male,group C,bachelor's degree,standard,none,68,84,40
male,group C,high school,free/reduced,none,43,80,48
male,group C,some high school,standard,completed,77,74,102
female,group E,high school,standard,none,85,72,65
male,group E,associate's degree,free/reduced,none,59,90,93
female,group E,some high school,standard,none,74,93,79
male,group C,high school,standard,completed,40,101,115
male,group B,associate's degree,standard,none,71,86,45
male,group B,some college,standard,none,67,36,93
male,group E,associate's degree,standard,none,50,53,49
male,group B,some high school,free/reduced,none,66,56,88
female,group D,bachelor's degree,standard,none,50,69,60
female,group C,high school,standard,none,93,78,81
female,group E,some college,free/reduced,completed,26,85,67
male,group B,master's degree,standard,none,48,76,91
female,group A,some high school,free/reduced,none,41,86,113
male,group C,high school,standard,none,44,58,77
male,group A,master's degree,standard,none,63,105,99
male,group C,some high school,standard,completed,62,51,62
male,group A,bachelor's degree,standard,completed,93,91,87
female,group A,associate's degree,standard,none,66,78,85
male,group B,some college,standard,none,74,80,67
male,group E,high school,standard,completed,53,75,81
female,group C,bachelor's degree,free/reduced,none,83,64,84
female,group D,some college,standard,completed,40,73,101
male,group C,some high school,free/reduced,none,47,76,61
male,group B,high school,standard,completed,89,74,98
female,group E,high school,free/reduced,none,79,96,74
female,group C,associate's degree,free/reduced,none,48,52,60
male,group B,associate's degree,standard,completed,70,68,66
female,group B,bachelor's degree,standard,none,92,101,113
female,group A,bachelor's degree,standard,none,92,84,96
male,group E,some high school,free/reduced,none,46,102,104
male,group C,associate's degree,standard,none,51,40,90
female,group C,some high school,standard,completed,87,101,77
female,group D,master's degree,free/reduced,completed,68,40,82
male,group D,some high school,standard,completed,96,70,96
male,group C,associate's degree,standard,completed,62,106,77
female,group E,bachelor's degree,standard,none,54,73,64
female,group B,bachelor's degree,free/reduced,none,64,31,88
female,group D,associate's degree,standard,completed,48,83,94
male,group B,high school,standard,none,54,83,91
male,group A,some college,free/reduced,none,104,76,43
female,group C,high school,standard,none,43,106,72
male,group B,associate's degree,free/reduced,none,64,69,91
female,group D,some high school,standard,completed,33,70,70
female,group C,bachelor's degree,free/reduced,none,86,55,58
male,group D,associate's degree,standard,completed,30,88,72
male,group D,associate's degree,free/reduced,none,88,58,99
male,group C,high school,standard,none,76,79,72
female,group A,high school,free/reduced,none,104,80,87
male,group A,bachelor's degree,standard,none,80,89,73
female,group C,some college,standard,none,72,64,52
female,group D,associate's degree,free/reduced,completed,67,74,63
male,group C,high school,standard,none,86,62,86
female,group E,master's degree,free/reduced,none,83,52,99
female,group D,some college,free/reduced,none,57,69,100
female,group D,master's degree,standard,none,56,61,93
female,group D,high school,standard,none,77,84,78
male,group D,associate's degree,free/reduced,none,45,49,59
female,group D,some high school,free/reduced,none,31,91,90
female,group D,some college,standard,none,85,73,95
male,group C,associate's degree,free/reduced,completed,67,42,86
female,group E,some college,standard,none,49,86,94
female,group A,associate's degree,free/reduced,none,60,70,70
female,group A,associate's degree,standard,completed,81,62,98
female,group C,bachelor's degree,free/reduced,none,56,29,103
male,group C,some college,free/reduced,completed,39,91,91
female,group B,bachelor's degree,standard,none,80,89,67
female,group E,some high school,standard,none,52,57,80
male,group C,some college,standard,completed,73,25,81
female,group D,some college,standard,none,53,96,96
male,group B,associate's degree,standard,completed,95,84,95
male,group D,bachelor's degree,free/reduced,completed,68,72,76
female,group D,high school,standard,none,71,89,61
male,group B,some high school,standard,completed,54,84,97
male,group B,associate's degree,free/reduced,none,48,65,79
male,group A,high school,free/reduced,none,70,43,89
male,group D,some high school,standard,completed,74,73,55
female,group C,associate's degree,standard,none,66,40,97
female,group E,associate's degree,standard,none,43,49,52
male,group C,associate's degree,free/reduced,none,69,83,95
female,group B,associate's degree,standard,none,70,95,93
male,group C,some high school,free/reduced,completed,98,96,101
male,group C,bachelor's degree,standard,none,74,72,45
female,group E,some high school,free/reduced,none,60,105,68
female,group D,high school,free/reduced,none,82,100,60
female,group D,bachelor's degree,standard,completed,62,94,55
male,group D,high school,standard,none,82,87,70
female,group C,some college,standard,none,69,56,65
male,group C,some college,free/reduced,completed,58,78,66
female,group A,some high school,standard,completed,92,89,91
male,group C,bachelor's degree,standard,completed,59,68,89
female,group E,associate's degree,standard,none,89,43,86
male,group E,master's degree,standard,none,53,87,60
male,group C,high school,standard,none,90,72,85
female,group C,associate's degree,standard,completed,70,85,67
male,group D,master's degree,free/reduced,none,69,48,100
female,group A,high school,standard,none,64,105,67
female,group C,associate's degree,free/reduced,none,88,78,57
male,group D,high school,free/reduced,completed,76,68,76
female,group D,master's degree,free/reduced,completed,60,73,86
male,group D,high school,standard,none,62,76,93
male,group A,associate's degree,free/reduced,none,70,96,69
female,group C,bachelor's degree,standard,completed,52,86,68
male,group D,associate's degree,standard,none,66,91,66
male,group E,some high school,standard,completed,57,77,44
male,group B,high school,free/reduced,completed,87,79,82
female,group E,associate's degree,standard,none,59,62,49
male,group D,high school,free/reduced,none,86,61,80
male,group D,bachelor's degree,standard,none,52,72,95
male,group D,some college,standard,none,82,52,62
female,group E,associate's degree,standard,none,71,65,81
male,group C,master's degree,free/reduced,completed,58,72,68
male,group C,bachelor's degree,standard,completed,87,70,84
female,group D,some high school,free/reduced,completed,71,82,103
male,group E,bachelor's degree,standard,completed,76,109,55
female,group C,some high school,free/reduced,none,62,70,52
female,group B,some high school,free/reduced,none,75,93,80
female,group A,master's degree,standard,none,72,98,109
male,group D,master's degree,free/reduced,none,67,81,56
female,group E,associate's degree,standard,none,57,100,80
female,group E,bachelor's degree,standard,none,24,94,52
male,group E,associate's degree,standard,none,74,111,109
male,group D,high school,free/reduced,none,67,55,66
female,group C,master's degree,free/reduced,none,43,70,72
female,group C,high school,standard,completed,52,52,38
male,group C,bachelor's degree,standard,completed,65,106,52
female,group B,some college,free/reduced,completed,65,70,89
female,group B,some high school,standard,none,64,66,79
female,group D,master's degree,free/reduced,none,36,72,53
male,group C,some college,free/reduced,completed,55,83,75
female,group D,some high school,free/reduced,none,68,77,69
female,group C,some college,free/reduced,completed,55,62,81
male,group C,some college,standard,completed,55,50,79
female,group B,bachelor's degree,standard,none,65,68,94
female,group D,some high school,free/reduced,none,67,66,75
female,group E,associate's degree,standard,none,80,64,44
male,group D,master's degree,free/reduced,none,55,102,65
female,group C,high school,standard,none,75,57,74
male,group D,bachelor's degree,free/reduced,completed,91,84,60
male,group D,high school,free/reduced,completed,68,73,38
female,group B,bachelor's degree,standard,completed,69,85,90
female,group C,bachelor's degree,standard,none,6,61,66
male,group E,associate's degree,standard,completed,77,106,88
male,group D,associate's degree,standard,completed,79,72,98
female,group D,some college,free/reduced,completed,99,54,92
male,group C,high school,standard,none,57,54,83
female,group D,master's degree,free/reduced,none,53,63,58
male,group A,high school,free/reduced,completed,75,71,79
male,group C,high school,standard,none,67,46,70
female,group D,bachelor's degree,standard,none,63,79,98
female,group B,bachelor's degree,standard,none,70,77,115
male,group C,associate's degree,standard,none,49,89,69
male,group A,some college,free/reduced,none,88,40,78
male,group E,associate's degree,free/reduced,none,41,70,82
male,group C,high school,free/reduced,none,48,87,90
female,group B,associate's degree,free/reduced,completed,39,87,61
female,group B,some college,standard,none,55,84,96
male,group D,high school,standard,none,44,27,82
male,group D,bachelor's degree,standard,none,59,78,74
male,group C,some high school,free/reduced,none,39,36,64
female,group C,high school,free/reduced,completed,75,52,101
female,group C,associate's degree,free/reduced,none,42,77,101
male,group B,bachelor's degree,standard,none,76,105,70
male,group C,high school,standard,none,42,47,68
